id,tournament_id,match_date,team1,team2,location,match_name,status,match_time,type_match,created_at,updated_at,completed_and_captured,currently_live,sportsmonk_id,tournament_league_id,tournament_stage_id,tournament_season_id,match_note,points_status,leaderboard_processed
9be9d4ef-5e8f-4598-a999-e1eecdfeb2e3,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-11,Australia,Ireland,R.Premadasa Stadium,Australia vs Ireland,Scheduled,2026-02-11 09:30:00+00,T20I,2026-02-01 04:25:08.328+00,2026-02-01 04:25:08.328+00,false,false,68522,17,6442,1770,,pending,false
258350c8-a8b8-42de-9f2b-b6933dae0beb,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-11,Afghanistan,South Africa,Narendra Modi Stadium,Afghanistan vs South Africa,Scheduled,2026-02-11 05:30:00+00,T20I,2026-02-01 04:25:08.122+00,2026-02-01 04:25:08.122+00,false,false,68521,17,6442,1770,,pending,false
e423ca01-9b23-4a07-a986-27518a8064d6,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-10,Pakistan,United States of America,Sinhalese Sports Club,Pakistan vs United States of America,Scheduled,2026-02-10 13:30:00+00,T20I,2026-02-01 04:25:07.944+00,2026-02-01 04:25:07.944+00,false,false,68520,17,6442,1770,,pending,false
cd00013c-e872-4ab2-8c3b-373bff3100d0,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-10,New Zealand,United Arab Emirates,MA Chidambaram Stadium,New Zealand vs United Arab Emirates,Scheduled,2026-02-10 09:30:00+00,T20I,2026-02-01 04:25:07.765+00,2026-02-01 04:25:07.765+00,false,false,68519,17,6442,1770,,pending,false
268b74e5-18ba-4db8-9db3-1af3c073a1de,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-10,Namibia,Netherlands,Arun Jaitley Stadium,Namibia vs Netherlands,Scheduled,2026-02-10 05:30:00+00,T20I,2026-02-01 04:25:07.589+00,2026-02-01 04:25:07.589+00,false,false,68518,17,6442,1770,,pending,false
c3406ea4-8b29-4e63-a8ff-77b1fc7532cd,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-09,Canada,South Africa,Narendra Modi Stadium,Canada vs South Africa,Scheduled,2026-02-09 13:30:00+00,T20I,2026-02-01 04:25:07.407+00,2026-02-01 04:25:07.407+00,false,false,68517,17,6442,1770,,pending,false
b61fd78e-8dfc-43ce-b1ab-2b81e02a61b2,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-09,Oman,Zimbabwe,Sinhalese Sports Club,Oman vs Zimbabwe,Scheduled,2026-02-09 09:30:00+00,T20I,2026-02-01 04:25:07.106+00,2026-02-01 04:25:07.106+00,false,false,68516,17,6442,1770,,pending,false
0e3dc3c5-920d-4831-9c39-20f123b73f2b,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-09,Scotland,Italy,Eden Gardens,Scotland vs Italy,Scheduled,2026-02-09 05:30:00+00,T20I,2026-02-01 04:25:06.915+00,2026-02-01 04:25:06.915+00,false,false,68515,17,6442,1770,,pending,false
dbdd5459-dd8a-4d91-825e-b017d9be90c9,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-08,Sri Lanka,Ireland,R.Premadasa Stadium,Sri Lanka vs Ireland,Scheduled,2026-02-08 13:30:00+00,T20I,2026-02-01 04:25:06.432+00,2026-02-01 04:25:06.432+00,false,false,68514,17,6442,1770,,pending,false
e67c9e9a-d327-4015-a3d1-cb010c36aeeb,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-08,England,Nepal,Wankhede Stadium,England vs Nepal,Scheduled,2026-02-08 09:30:00+00,T20I,2026-02-01 04:25:06.25+00,2026-02-01 04:25:06.25+00,false,false,68513,17,6442,1770,,pending,false
58a29c13-d92e-4aca-a64a-47089dfc711a,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-08,Afghanistan,New Zealand,MA Chidambaram Stadium,Afghanistan vs New Zealand,Scheduled,2026-02-08 05:30:00+00,T20I,2026-02-01 04:25:06.057+00,2026-02-01 04:25:06.057+00,false,false,68512,17,6442,1770,,pending,false
c2aee985-996b-4ec6-88ee-e213eb4c8255,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-07,India,United States of America,Wankhede Stadium,India vs United States of America,Scheduled,2026-02-07 13:30:00+00,T20I,2026-02-01 04:25:05.88+00,2026-02-01 04:25:05.88+00,false,false,68511,17,6442,1770,,pending,false
e9dfc3de-68cd-47b8-b085-78333d1ed505,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-07,Scotland,West Indies,Eden Gardens,Scotland vs West Indies,Scheduled,2026-02-07 09:30:00+00,T20I,2026-02-01 04:25:05.697+00,2026-02-01 04:25:05.697+00,false,false,68510,17,6442,1770,,pending,false
d1f06f65-859d-46db-81da-ffe34d824922,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-07,Netherlands,Pakistan,Sinhalese Sports Club,Netherlands vs Pakistan,Scheduled,2026-02-07 05:30:00+00,T20I,2026-02-01 04:25:05.493+00,2026-02-01 04:25:05.493+00,false,false,68509,17,6442,1770,,pending,false
